Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur;Nedbør (1 t)
Oslo - Blindern;SN18700;01.01.2016 00:00;1,1;0,1
Oslo - Blindern;SN18700;01.01.2016 01:00;1,1;0,3
Oslo - Blindern;SN18700;01.01.2016 02:00;1,1;0,6
Oslo - Blindern;SN18700;01.01.2016 03:00;0,9;0,9
Oslo - Blindern;SN18700;01.01.2016 04:00;1,2;0,4
Oslo - Blindern;SN18700;01.01.2016 05:00;1,1;1
Oslo - Blindern;SN18700;01.01.2016 06:00;1,1;1
Oslo - Blindern;SN18700;01.01.2016 07:00;1,3;0,8
Oslo - Blindern;SN18700;01.01.2016 08:00;1,5;0
Oslo - Blindern;SN18700;01.01.2016 09:00;1,6;0
Oslo - Blindern;SN18700;01.01.2016 10:00;1,7;0
Oslo - Blindern;SN18700;01.01.2016 11:00;1,6;0
Oslo - Blindern;SN18700;01.01.2016 12:00;2;0
Oslo - Blindern;SN18700;01.01.2016 13:00;2,2;0
Oslo - Blindern;SN18700;01.01.2016 14:00;2;0
Oslo - Blindern;SN18700;01.01.2016 15:00;2,4;0
Oslo - Blindern;SN18700;01.01.2016 16:00;2,3;0
Oslo - Blindern;SN18700;01.01.2016 17:00;2,3;0
Oslo - Blindern;SN18700;01.01.2016 18:00;2,3;0
Oslo - Blindern;SN18700;01.01.2016 19:00;2,2;0,4
Oslo - Blindern;SN18700;01.01.2016 20:00;1,7;1,3
Oslo - Blindern;SN18700;01.01.2016 21:00;1,4;0,6
Oslo - Blindern;SN18700;01.01.2016 22:00;1,1;1,2
Oslo - Blindern;SN18700;01.01.2016 23:00;1,6;0,3
Oslo - Blindern;SN18700;02.01.2016 00:00;1,5;0
Oslo - Blindern;SN18700;02.01.2016 01:00;1,4;0,1
Oslo - Blindern;SN18700;02.01.2016 02:00;1,3;0
Oslo - Blindern;SN18700;02.01.2016 03:00;1,1;0
Oslo - Blindern;SN18700;02.01.2016 04:00;1;0
Oslo - Blindern;SN18700;02.01.2016 05:00;1,1;0
Oslo - Blindern;SN18700;02.01.2016 06:00;1;0
Oslo - Blindern;SN18700;02.01.2016 07:00;0,5;0
Oslo - Blindern;SN18700;02.01.2016 08:00;-0,9;0,1
Oslo - Blindern;SN18700;02.01.2016 09:00;-1,6;0
Oslo - Blindern;SN18700;02.01.2016 10:00;-2;0
Oslo - Blindern;SN18700;02.01.2016 11:00;-2,6;0
Oslo - Blindern;SN18700;02.01.2016 12:00;-2,8;0
Oslo - Blindern;SN18700;02.01.2016 13:00;-2,8;0
Oslo - Blindern;SN18700;02.01.2016 14:00;-3;0
Oslo - Blindern;SN18700;02.01.2016 15:00;-3,4;0
Oslo - Blindern;SN18700;02.01.2016 16:00;-3,4;0
Oslo - Blindern;SN18700;02.01.2016 17:00;-3,5;0
Oslo - Blindern;SN18700;02.01.2016 18:00;-3,7;0
Oslo - Blindern;SN18700;02.01.2016 19:00;-4,1;0
Oslo - Blindern;SN18700;02.01.2016 20:00;-4,5;0
