"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|NO1","Actual Total Load [MW] - BZN|NO1"
"01.01.2017 00:00 - 01.01.2017 01:00","4232","4270"
"01.01.2017 01:00 - 01.01.2017 02:00","4208","4251"
"01.01.2017 02:00 - 01.01.2017 03:00","4155","4195"
"01.01.2017 03:00 - 01.01.2017 04:00","4078","4118"
"01.01.2017 04:00 - 01.01.2017 05:00","4060","4100"
"01.01.2017 05:00 - 01.01.2017 06:00","4120","4159"
"01.01.2017 06:00 - 01.01.2017 07:00","4225","4256"
"01.01.2017 07:00 - 01.01.2017 08:00","4293","4334"
"01.01.2017 08:00 - 01.01.2017 09:00","4429","4467"
"01.01.2017 09:00 - 01.01.2017 10:00","4573","4602"
"01.01.2017 10:00 - 01.01.2017 11:00","4752","4786"
"01.01.2017 11:00 - 01.01.2017 12:00","4792","4830"
"01.01.2017 12:00 - 01.01.2017 13:00","4767","4801"
"01.01.2017 13:00 - 01.01.2017 14:00","4753","4796"
"01.01.2017 14:00 - 01.01.2017 15:00","4770","4814"
"01.01.2017 15:00 - 01.01.2017 16:00","4970","5021"
"01.01.2017 16:00 - 01.01.2017 17:00","5180","5222"
"01.01.2017 17:00 - 01.01.2017 18:00","5220","5266"
"01.01.2017 18:00 - 01.01.2017 19:00","5226","5270"
"01.01.2017 19:00 - 01.01.2017 20:00","5186","5234"
"01.01.2017 20:00 - 01.01.2017 21:00","5131","5178"
"01.01.2017 21:00 - 01.01.2017 22:00","5069","5118"
"01.01.2017 22:00 - 01.01.2017 23:00","4911","4956"
"01.01.2017 23:00 - 02.01.2017 00:00","4795","4782"
"02.01.2017 00:00 - 02.01.2017 01:00","4588","4624"
"02.01.2017 01:00 - 02.01.2017 02:00","4502","4540"
"02.01.2017 02:00 - 02.01.2017 03:00","4525","4562"
"02.01.2017 03:00 - 02.01.2017 04:00","4551","4592"
"02.01.2017 04:00 - 02.01.2017 05:00","4653","4690"
"02.01.2017 05:00 - 02.01.2017 06:00","4875","4898"
"02.01.2017 06:00 - 02.01.2017 07:00","5473","5517"
"02.01.2017 07:00 - 02.01.2017 08:00","5997","6063"
"02.01.2017 08:00 - 02.01.2017 09:00","6185","6264"
"02.01.2017 09:00 - 02.01.2017 10:00","6254","6341"
"02.01.2017 10:00 - 02.01.2017 11:00","6327","6400"
"02.01.2017 11:00 - 02.01.2017 12:00","6264","6339"
"02.01.2017 12:00 - 02.01.2017 13:00","6207","6281"
"02.01.2017 13:00 - 02.01.2017 14:00","6102","6185"
"02.01.2017 14:00 - 02.01.2017 15:00","6140","6212"
"02.01.2017 15:00 - 02.01.2017 16:00","6300","6366"
"02.01.2017 16:00 - 02.01.2017 17:00","6505","6573"
"02.01.2017 17:00 - 02.01.2017 18:00","6525","6594"
"02.01.2017 18:00 - 02.01.2017 19:00","6406","6475"
"02.01.2017 19:00 - 02.01.2017 20:00","6333","6404"
"02.01.2017 20:00 - 02.01.2017 21:00","6172","6242"
"02.01.2017 21:00 - 02.01.2017 22:00","6035","6108"
"02.01.2017 22:00 - 02.01.2017 23:00","5746","5798"
"02.01.2017 23:00 - 03.01.2017 00:00","5387","5392"
"03.01.2017 00:00 - 03.01.2017 01:00","5079","5110"
"03.01.2017 01:00 - 03.01.2017 02:00","4914","4949"
"03.01.2017 02:00 - 03.01.2017 03:00","4833","4870"
"03.01.2017 03:00 - 03.01.2017 04:00","4833","4865"
"03.01.2017 04:00 - 03.01.2017 05:00","4894","4925"
"03.01.2017 05:00 - 03.01.2017 06:00","5076","5112"
"03.01.2017 06:00 - 03.01.2017 07:00","5733","5796"
"03.01.2017 07:00 - 03.01.2017 08:00","6381","6456"
"03.01.2017 08:00 - 03.01.2017 09:00","6562","6648"
"03.01.2017 09:00 - 03.01.2017 10:00","6506","6605"
"03.01.2017 10:00 - 03.01.2017 11:00","6472","6567"
"03.01.2017 11:00 - 03.01.2017 12:00","6406","6495"
"03.01.2017 12:00 - 03.01.2017 13:00","6317","6390"
"03.01.2017 13:00 - 03.01.2017 14:00","6225","6289"
"03.01.2017 14:00 - 03.01.2017 15:00","6163","6242"
"03.01.2017 15:00 - 03.01.2017 16:00","6265","6305"
"03.01.2017 16:00 - 03.01.2017 17:00","6427","6497"
"03.01.2017 17:00 - 03.01.2017 18:00","6440","6499"
"03.01.2017 18:00 - 03.01.2017 19:00","6300","6370"
"03.01.2017 19:00 - 03.01.2017 20:00","6160","6231"
"03.01.2017 20:00 - 03.01.2017 21:00","6067","6139"
"03.01.2017 21:00 - 03.01.2017 22:00","5864","5932"
"03.01.2017 22:00 - 03.01.2017 23:00","5558","5615"
"03.01.2017 23:00 - 04.01.2017 00:00","5278","5261"
"04.01.2017 00:00 - 04.01.2017 01:00","4939","4989"
"04.01.2017 01:00 - 04.01.2017 02:00","4797","4838"
"04.01.2017 02:00 - 04.01.2017 03:00","4717","4757"
"04.01.2017 03:00 - 04.01.2017 04:00","4705","4742"
"04.01.2017 04:00 - 04.01.2017 05:00","4744","4784"
"04.01.2017 05:00 - 04.01.2017 06:00","4973","5016"
"04.01.2017 06:00 - 04.01.2017 07:00","5627","5687"
"04.01.2017 07:00 - 04.01.2017 08:00","6273","6342"
"04.01.2017 08:00 - 04.01.2017 09:00","6435","6506"
"04.01.2017 09:00 - 04.01.2017 10:00","6424","6511"
"04.01.2017 10:00 - 04.01.2017 11:00","6442","6524"
"04.01.2017 11:00 - 04.01.2017 12:00","6425","6501"
"04.01.2017 12:00 - 04.01.2017 13:00","6456","6531"
"04.01.2017 13:00 - 04.01.2017 14:00","6502","6577"
"04.01.2017 14:00 - 04.01.2017 15:00","6607","6659"
"04.01.2017 15:00 - 04.01.2017 16:00","6661","6749"
"04.01.2017 16:00 - 04.01.2017 17:00","6849","6939"
"04.01.2017 17:00 - 04.01.2017 18:00","6831","6919"
"04.01.2017 18:00 - 04.01.2017 19:00","6728","6809"
"04.01.2017 19:00 - 04.01.2017 20:00","6651","6738"
"04.01.2017 20:00 - 04.01.2017 21:00","6514","6597"
"04.01.2017 21:00 - 04.01.2017 22:00","6360","6434"
"04.01.2017 22:00 - 04.01.2017 23:00","6151","6219"
"04.01.2017 23:00 - 05.01.2017 00:00","5808","5875"
"05.01.2017 00:00 - 05.01.2017 01:00","5574","5622"
"05.01.2017 01:00 - 05.01.2017 02:00","5499","5558"
"05.01.2017 02:00 - 05.01.2017 03:00","5483","5533"
"05.01.2017 03:00 - 05.01.2017 04:00","5537","5596"
"05.01.2017 04:00 - 05.01.2017 05:00","5643","5716"
"05.01.2017 05:00 - 05.01.2017 06:00","5896","5966"
"05.01.2017 06:00 - 05.01.2017 07:00","6517","6613"
"05.01.2017 07:00 - 05.01.2017 08:00","7243","7351"
"05.01.2017 08:00 - 05.01.2017 09:00","7502","7615"
"05.01.2017 09:00 - 05.01.2017 10:00","7487","7613"
"05.01.2017 10:00 - 05.01.2017 11:00","7400","7513"
"05.01.2017 11:00 - 05.01.2017 12:00","7272","7384"
"05.01.2017 12:00 - 05.01.2017 13:00","7172","7279"
"05.01.2017 13:00 - 05.01.2017 14:00","7108","7222"
"05.01.2017 14:00 - 05.01.2017 15:00","7171","7286"
"05.01.2017 15:00 - 05.01.2017 16:00","7263","7371"
"05.01.2017 16:00 - 05.01.2017 17:00","7475","7583"
"05.01.2017 17:00 - 05.01.2017 18:00","7494","7596"
"05.01.2017 18:00 - 05.01.2017 19:00","7393","7487"
"05.01.2017 19:00 - 05.01.2017 20:00","7252","7349"
"05.01.2017 20:00 - 05.01.2017 21:00","7142","7237"
"05.01.2017 21:00 - 05.01.2017 22:00","6945","7038"
"05.01.2017 22:00 - 05.01.2017 23:00","6685","6771"
"05.01.2017 23:00 - 06.01.2017 00:00","6288","6398"
"06.01.2017 00:00 - 06.01.2017 01:00","6105","6170"
"06.01.2017 01:00 - 06.01.2017 02:00","5971","6035"
"06.01.2017 02:00 - 06.01.2017 03:00","5871","5935"
"06.01.2017 03:00 - 06.01.2017 04:00","5868","5934"
"06.01.2017 04:00 - 06.01.2017 05:00","5938","6012"
"06.01.2017 05:00 - 06.01.2017 06:00","6079","6160"
"06.01.2017 06:00 - 06.01.2017 07:00","6636","6742"
"06.01.2017 07:00 - 06.01.2017 08:00","7284","7416"
"06.01.2017 08:00 - 06.01.2017 09:00","7482","7598"
"06.01.2017 09:00 - 06.01.2017 10:00","7457","7542"
"06.01.2017 10:00 - 06.01.2017 11:00","7352","7494"
"06.01.2017 11:00 - 06.01.2017 12:00","7241","7383"
"06.01.2017 12:00 - 06.01.2017 13:00","7183","7325"
"06.01.2017 13:00 - 06.01.2017 14:00","7110","7235"
"06.01.2017 14:00 - 06.01.2017 15:00","7054","7174"
"06.01.2017 15:00 - 06.01.2017 16:00","7075","7189"
"06.01.2017 16:00 - 06.01.2017 17:00","7101","7212"
"06.01.2017 17:00 - 06.01.2017 18:00","7006","7105"
"06.01.2017 18:00 - 06.01.2017 19:00","6827","6919"
"06.01.2017 19:00 - 06.01.2017 20:00","6628","6712"
"06.01.2017 20:00 - 06.01.2017 21:00","6319","6395"
"06.01.2017 21:00 - 06.01.2017 22:00","6022","6094"
"06.01.2017 22:00 - 06.01.2017 23:00","5732","5791"
"06.01.2017 23:00 - 07.01.2017 00:00","5363","5494"
"07.01.2017 00:00 - 07.01.2017 01:00","5164","5218"
"07.01.2017 01:00 - 07.01.2017 02:00","4938","4993"
"07.01.2017 02:00 - 07.01.2017 03:00","4847","4864"
"07.01.2017 03:00 - 07.01.2017 04:00","4753","4806"
"07.01.2017 04:00 - 07.01.2017 05:00","4733","4782"
"07.01.2017 05:00 - 07.01.2017 06:00","4787","4835"
"07.01.2017 06:00 - 07.01.2017 07:00","4909","4959"
"07.01.2017 07:00 - 07.01.2017 08:00","5113","5170"
"07.01.2017 08:00 - 07.01.2017 09:00","5466","5533"
"07.01.2017 09:00 - 07.01.2017 10:00","5729","5800"
"07.01.2017 10:00 - 07.01.2017 11:00","5939","6011"
"07.01.2017 11:00 - 07.01.2017 12:00","5994","6063"
"07.01.2017 12:00 - 07.01.2017 13:00","5927","5995"
"07.01.2017 13:00 - 07.01.2017 14:00","5838","5909"
"07.01.2017 14:00 - 07.01.2017 15:00","5771","5841"
"07.01.2017 15:00 - 07.01.2017 16:00","5880","5956"
"07.01.2017 16:00 - 07.01.2017 17:00","6142","6229"
"07.01.2017 17:00 - 07.01.2017 18:00","6196","6275"
"07.01.2017 18:00 - 07.01.2017 19:00","6177","6253"
"07.01.2017 19:00 - 07.01.2017 20:00","6062","6133"
"07.01.2017 20:00 - 07.01.2017 21:00","5885","5953"
"07.01.2017 21:00 - 07.01.2017 22:00","5714","5775"
