Lufttemperatur	Nedbør (1 t)	Actual Total Load [MW] - BZN|NO1	inflasjon
1,1	0,1	4582.0	2.9
1,1	0,3	4482.0	3.2
1,1	0,6	4421.0	3.2
0,9	0,9	4335.0	3.2
1,2	0,4	4304.0	3.2
1,1	1	4336.0	3.2
1,1	1	4509.0	3.2
1,3	0,8	4631.0	3.2
1,5	0	4716.0	3.2
1,6	0	4813.0	3.2
1,7	0	4962.0	3.2
1,6	0	5125.0	3.2
2	0	5218.0	3.2
2,2	0	5239.0	3.2
2	0	5254.0	3.2
2,4	0	5445.0	3.2
2,3	0	5476.0	3.2
2,3	0	5411.0	3.2
2,3	0	5367.0	3.2
2,2	0,4	5244.0	3.2
1,7	1,3	5139.0	3.2
1,4	0,6	5029.0	3.2
1,1	1,2	4812.0	3.2
1,6	0,3	4660.0	3.2
1,5	0	4498.0	3.2
1,4	0,1	4396.0	3.2
1,3	0	4297.0	3.2
1,1	0	4282.0	3.2
1	0	4303.0	3.2
1,1	0	4359.0	3.2
1	0	4523.0	3.2
0,5	0	4756.0	3.2
-0,9	0,1	5060.0	3.2
-1,6	0	5352.0	3.2
-2	0	5639.0	3.2
-2,6	0	5821.0	3.2
-2,8	0	5882.0	3.2
-2,8	0	5866.0	3.2
-3	0	5878.0	3.2
-3,4	0	5988.0	3.2
-3,4	0	6058.0	3.2
-3,5	0	6117.0	3.2
-3,7	0	6116.0	3.2
-4,1	0	5985.0	3.2
-4,5	0	5861.0	3.2
-4,8	0	5719.0	3.2
-5	0	5543.0	3.2
-5,3	0	5391.0	3.2
-5,4	0	5269.0	3.2
-5,5	0	5138.0	3.2
-5,6	0	5079.0	3.2
-5,6	0	5042.0	3.2
-5,7	0	5052.0	3.2
-5,7	0	5083.0	3.2
-5,7	0	5190.0	3.2
-5,7	0	5302.0	3.2
-5,8	0	5498.0	3.2
-5,8	0	5747.0	3.2
-5,7	0	6003.0	3.2
-5,7	0	6095.0	3.2
-5,5	0	6161.0	3.2
-5,5	0	6193.0	3.2
-5,5	0	6182.0	3.2
-5,7	0	6333.0	3.2
-6	0	6509.0	3.2
-6,1	0	6512.0	3.2
-6,2	0	6426.0	3.2
-6,3	0	6331.0	3.2
-6,4	0	6242.0	3.2
-6,5	0	6148.0	3.2
-6,9	0	5923.0	3.2
-6,9	0	5688.0	3.2
-6,9	0	5426.0	3.2
-7	0	5278.0	3.2
-7,1	0	5230.0	3.2
-7,2	0	5234.0	3.2
-7,2	0	5312.0	3.2
-7,3	0	5567.0	3.2
-7,1	0	6174.0	3.2
-7,2	0	6781.0	3.2
-6,9	0	6970.0	3.2
-7	0	7005.0	3.2
-7,1	0	7041.0	3.2
-7,2	0	7041.0	3.2
-7	0	7036.0	3.2
-7	0	7031.0	3.2
-7	0	7028.0	3.2
-7,1	0	7108.0	3.2
-7,3	0	7292.0	3.2
-7,4	0	7235.0	3.2
-7,7	0	7097.0	3.2
-7,8	0	6996.0	3.2
-7,7	0	6853.0	3.2
-7,7	0	6688.0	3.2
-8,3	0	6382.0	3.2
-8,3	0	6028.0	3.2
-8,3	0	5790.0	3.2
-8,3	0	5663.0	3.2
-8,3	0	5608.0	3.2
-8,1	0	5592.0	3.2
-8,2	0	5637.0	3.2
-8	0	5850.0	3.2
-8,1	0	6471.0	3.2
-7,8	0	7173.0	3.2
-7,6	0	7402.0	3.2
-7,4	0	7335.0	3.2
-7,2	0	7261.0	3.2
-6,8	0	7236.0	3.2
-6,8	0	7194.0	3.2
-6,6	0	7155.0	3.2
-6,5	0	7145.0	3.2
-6,7	0	7194.0	3.2
-7,3	0	7444.0	3.2
-7,3	0	7405.0	3.2
-7,2	0	7229.0	3.2
-7,4	0	7114.0	3.2
-8	0	7023.0	3.2
-9,1	0	6916.0	3.2
-8,3	0	6673.0	3.2
-8,4	0	6337.0	3.2
-9	0	6063.0	3.2
-9,9	0	5920.0	3.2
-10	0	5902.0	3.2
-11	0	5952.0	3.2
-11,3	0	6027.0	3.2
-11,6	0	6247.0	3.2
